1,1,1528-2711-ND,3942,ULTRASONIC SENSOR SONAR DISTANCE,kas540,1,0,3.95,3.95
2,2,ATMEGA328P-PN-ND,ATMEGA328P-PN,IC MCU 8BIT 32KB FLASH 28DIP,kas540,2,0,2.96,5.92
3,4,887-2015-ND,9B-16.000MBBK-B,CRYSTAL 16.0000MHZ 20PF TH,kas540,4,0,0.3,1.2
4,2,LF-3011VKCT-ND,LF-3011VK,"DISPLAY 7SEG 0.32"" SGL RED 10SMD",kas540,2,0,3.32,6.64
5,1,1528-2124-ND,512,ANALOG 2-AXIS THUMB JOYSTICK WIT,kas540,1,0,5.95,5.95
6,2,3046-9V-MN1604-ND,9V-MN1604,BATT ALKALINE 9V,kas540,2,0,2.28,4.56
7,2,BS61KIT-ND,BS61,BATT CONNECT SNAP 9V 1 CELL WIRE,kas540,2,0,2.65,5.3
8,4,399-9723-ND,C315C220K5G5TA,CAP CER 22PF 50V NP0 RADIAL,kas540,4,0,0.4,1.6
9,4,EG6029-ND,TL2201OAZA,SWITCH PUSH DPDT 0.1A 30V,kas540,4,0,0.94,3.76
